No.,PM,Temperatura,L1,L2,FP,Inflamabilidad,NFPA reactivity (unitless),HMIS flammability,HMIS reactivity
347,98.16,420,1.1,9.4,46,2,0,2,1
1097,118.18,490,1.1,5.3,46,2,2,,
709,118.13,400,1.5,11.4,46.1,2,0,2,1
363,134.2,435,0.7,5.6,47,2,0,2,1
26,72.07,360,2.4,8,48,2,2,2,2
799,46.03,480,12,38,48,2,0,,
462,142.24,345,0.81,7.1,48.8,2,0,2,1
1140,89.09,420,2.2,100,48.9,3,2,,
378,140.27,210,0.7,5.9,49,2,0,,
7,102.1,330,2.7,10.3,49,2,0,2,0
861,114.19,430,1,100,49,2,0,,
1273,74.08,512.8,2.1,12,49,2,0,2,0
311,126.59,600,1,12.6,49,2,,2,1
1703,105.14,453,1.03,9.01,50,3,0,3,1
188,157.02,565,0.5,2.5,51,2,0,,
424,117.22,320,6.7,11.7,52,2,0,2,1
669,132.18,379,1.7,14,52,2,,,
380,116.18,620,1.8,6.9,52,2,0,2,1
934,156,365,0.7,5.4,54,2,0,2,0
411,143.01,369,2.7,100,55,2,1,,
425,134.2,380,0.8,5.1,55,2,0,,
987,104.11,385,1.1,3.6,55,2,0,,
433,134.2,190,1.3,14.2,56,2,1,2,2
84,146.2,360,0.6,20,56,2,0,2,1
460,134.17,170,1.5,17.4,57,2,3,,
385,158.32,180,2,8,57,2,0,,
1277,104.15,235,1.3,15.8,57,2,0,,
732,144,294,1,8,57,2,0,,
373,138.25,250,0.7,4.9,57.8,2,0,2,0
876,102.18,315,1.1,7,58,2,0,2,0
491,73.09,410,2.2,16,58,2,0,2,1
806,96.09,315,2.1,19.3,60,2,0,,
299,80.5,425,4.9,16,60,2,0,,
1402,162,255,0.6,5.7,61.1,2,0,2,0
127,106.1,190,1.4,13.5,62,0,0,0,0
600,118.17,230,1.1,12.7,62,2,0,2,0
246,118.18,240,1.1,10.6,62,2,0,,
742,158,250,0.7,0.4,62,2,0,2,0
938,164,260,0.6,4.5,62,2,0,2,0
85,132.2,260,1.1,8.4,62,2,0,2,0
875,102.18,285,1.2,7.7,62,2,0,,
1045,114.19,295,1,100,62,2,0,2,0
531,132.23,260,1.1,8.4,63,2,0,,
476,121.2,371,1.2,7,63,1,0,,
1392,122,499,0.6,6,63,2,0,2,0
1027,116.1,280,1.8,8.8,63.5,2,0,2,0
473,87.12,400,1.7,11.5,64,2,0,,
1636,156.31,202,0.7,5.1,65,2,0,,
1261,132.16,415,1.3,100,65,2,0,,
807,98.1,490,1.8,16.3,65,2,1,,
